id,gameId,views,plays,likes,dislikes,lastUpdated
"568835bc-9c7f-458a-bb04-09c0f574627e","bb935fc4-4063-4709-874a-20e8dd1ba36f",0,0,0,0,2025-03-17T01:36:00.237Z
"4fe1743e-275e-4df3-ad55-492d64ea9809","2964c8d9-953c-41a9-aa4f-653d261d14e6",0,0,0,0,2025-03-17T01:36:00.868Z
"ed11a272-d59c-43ab-b66d-e5e0df044135","3ebb0eb7-753f-4778-8b67-7fd98a94b49c",0,0,0,0,2025-03-17T01:36:01.338Z
"b61eeeb3-22b8-4bb7-8285-d92f41875805","d5fba96c-069e-4242-9206-3d145ccf899a",0,0,0,0,2025-03-17T01:36:01.797Z
"ce2c4863-1e3e-476d-9ac8-0386d1661168","f8279a3a-cbc2-446e-a640-080b05366998",0,0,0,0,2025-03-17T01:36:02.303Z
"025b815e-4d37-42b3-bd08-03ac36493cc1","34734b25-58ec-46ab-ac41-1bceccdab4fa",0,0,0,0,2025-03-17T01:36:03.261Z
"28d759bf-249c-427a-bd27-2a531b994a25","63ecb365-86eb-4c0e-9100-b697c7df6a90",0,0,0,0,2025-03-17T01:36:03.752Z
"f9b26403-c9e4-4f1f-93ef-5710cada4371","8c2d3fdb-bfa7-4838-9e7e-fbe9ca69c12b",0,0,0,0,2025-03-17T01:36:04.249Z
"5b4cc16d-a781-4da9-aab4-994a88642798","30cdfe59-56b7-4ea4-8f20-c975698e4541",0,0,0,0,2025-03-17T01:36:04.707Z
"b217ddf3-88e8-489f-ad20-89cd91c3ccfb","44574953-604c-483e-a60a-b00c0ea3a7ef",0,0,0,1,2025-03-17T19:32:30.487Z
"c00e9d91-cd41-49d4-b1fb-fb0992ba3a69","054009be-8fa3-4bdb-a853-57f5c355583f",0,0,0,0,2025-03-17T19:32:30.487Z
"efc83cb3-bcbc-4246-a944-b677c6f934c7","f68e6594-fe6b-4779-8483-99c510580c6b",2,4,0,0,2025-03-17T19:32:30.487Z
